Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","millions","4267.313021","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","millions","5154.079418","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","millions","6700.223753","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","millions","8569.829953","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","millions","8106.130234","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","millions","7770.181135","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","millions","8301.57257","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","millions","7874.310441","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","millions","8136.786542","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","millions","8490.842307","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","millions","6885.760265","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","millions","7011.061913","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","070","Bosnia and Herzegovina","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","millions","7239.606305","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","millions","5221.310015","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","millions","6077.548839","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","millions","7973.417042","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","millions","9526.619295","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","millions","10338.213834","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","millions","11468.831072","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","millions","14966.875197","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","millions","18383.048096","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","millions","17978.731653","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","millions","17394.843611","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","millions","18925.255285","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","millions","18030.950363","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","millions","20403.58721","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","millions","21809.720867","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","millions","19498.179551","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","millions","18026.008999","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","millions","19673.098657","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","millions","23607.346622","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","millions","25675.512409","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23130","Total Expenditure (General Government)","2020","2020","millions","27920.271709","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2001","2001","millions","11496.807724","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2002","2002","millions","13606.833228","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2003","2003","millions","17362.429103","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2004","2004","millions","20367.626354","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","millions","21281.611704","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","millions","23488.835614","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","millions","27694.990624","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","millions","32456.634822","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","millions","30854.2879","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","millions","29272.164462","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","millions","30904.018011","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","millions","27635.867853","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","millions","28413.844508","X","Figure from international organizations","Consolidated General Government Expenditure"
