Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2012","2012","millions","394.873244","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2013","2013","millions","276.36197","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2014","2014","millions","550.199095","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2015","2015","millions","361.140125","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","349.75913","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","491.888017","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","574.342521","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","400.092905","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","370.807986","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","1991","1991","millions","55.9","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","1992","1992","millions","41.5","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","1993","1993","millions","40","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","1994","1994","millions","105.4","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","1995","1995","millions","90.4","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","1996","1996","millions","109","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","1997","1997","millions","646.661442","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","1998","1998","millions","678.392895","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","1999","1999","millions","922.651916","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2000","2000","millions","1016.486088","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2001","2001","millions","808.425875","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2002","2002","millions","922.288833","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2003","2003","millions","2088.529334","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2004","2004","millions","3397.118077","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2005","2005","millions","3919.965925","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2006","2006","millions","7804.89399","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2007","2007","millions","12388.858778","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2008","2008","millions","9855.106749","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2009","2009","millions","3385.353473","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2010","2010","millions","1549.12886","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2011","2011","millions","2052.255145","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2012","2012","millions","1697.19155","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","100","Bulgaria","6110","Value US$","23082","Total FDI inflows","2013","2013","millions","1837.743542","X","Figure from international organizations","UNCTAD"
